#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
7   1   65.000000   0.020000   2457.235707  1.797533690000e-03   1.797533690000e-03    7.315267659831e-07   7.315267659831e-07   80
7   2   65.000000   0.060000   2396.479095  4.434422610000e-04   4.434422610000e-04    1.850390691599e-07   1.850390691599e-07   80
7   3   65.000000   0.100000   2306.456399  9.187599950000e-05   9.187599950000e-05    3.983426677384e-08   3.983426677384e-08   80
7   4   65.000000   0.140000   2179.753887  2.209838100000e-05   2.209838100000e-05    1.013801655856e-08   1.013801655856e-08   80
7   5   65.000000   0.180000   2081.575716  6.312793250000e-06   6.312793250000e-06    3.032699315945e-09   3.032699315945e-09   80
7   6   65.000000   0.220000   2016.475953  2.133768080000e-06   2.133768080000e-06    1.058166886060e-09   1.058166886060e-09   80
7   7   65.000000   0.260000   1973.189812  8.192090990000e-07   8.192090990000e-07    4.151699415930e-10   4.151699415930e-10   80
7   8   65.000000   0.300000   1953.890485  3.718770440000e-07   3.718770440000e-07    1.903264522013e-10   1.903264522013e-10   80
7   9   65.000000   0.340000   1941.589621  1.962110100000e-07   1.962110100000e-07    1.010568906415e-10   1.010568906415e-10   80
7   10   65.000000   0.380000   1945.500604  1.192443740000e-07   1.192443740000e-07    6.129238600843e-11   6.129238600843e-11   80
7   11   65.000000   0.420000   1967.181553  8.025376500000e-08   8.025376500000e-08    4.079631840671e-11   4.079631840671e-11   80
7   12   65.000000   0.460000   1992.062925  5.719867350000e-08   5.719867350000e-08    2.871328650424e-11   2.871328650424e-11   80
7   13   65.000000   0.500000   2023.057968  4.226627570000e-08   4.226627570000e-08    2.089227118973e-11   2.089227118973e-11   80
7   14   65.000000   0.540000   2060.349472  3.178087250000e-08   3.178087250000e-08    1.542499121236e-11   1.542499121236e-11   80
7   15   65.000000   0.580000   2094.278926  2.397631850000e-08   2.397631850000e-08    1.144848386828e-11   1.144848386828e-11   80
7   16   65.000000   0.620000   2142.249499  1.828362420000e-08   1.828362420000e-08    8.534778142572e-12   8.534778142572e-12   80
7   17   65.000000   0.660000   2217.154102  1.403809250000e-08   1.403809250000e-08    6.331581772930e-12   6.331581772930e-12   80
7   18   65.000000   0.700000   2419.637412  1.116496420000e-08   1.116496420000e-08    4.614312931610e-12   4.614312931610e-12   80
7   19   65.000000   0.740000   2611.412212  8.900633080000e-09   8.900633080000e-09    3.408360058630e-12   3.408360058630e-12   80
7   20   65.000000   0.780000   3302.781944  8.472104560000e-09   8.472104560000e-09    2.565141963244e-12   2.565141963244e-12   80
