#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
15.000000   0.020000   7.128873268987e-07   7.128873268987e-07
15.000000   0.060000   1.852535664422e-07   1.852535664422e-07
15.000000   0.100000   4.272013572625e-08   4.272013572625e-08
15.000000   0.140000   1.161948147592e-08   1.161948147592e-08
15.000000   0.180000   3.766331696003e-09   3.766331696003e-09
15.000000   0.220000   1.385560575056e-09   1.385560575056e-09
15.000000   0.260000   5.872606552053e-10   5.872606552053e-10
15.000000   0.300000   2.835177257492e-10   2.835177257492e-10
15.000000   0.340000   1.660313531248e-10   1.660313531248e-10
15.000000   0.420000   5.702927890304e-11   5.702927890304e-11
15.000000   0.460000   4.510403553751e-11   4.510403553751e-11
15.000000   0.500000   3.568695011295e-11   3.568695011295e-11
15.000000   0.540000   2.796293115765e-11   2.796293115765e-11
15.000000   0.580000   2.197281946820e-11   2.197281946820e-11
15.000000   0.620000   1.701818086546e-11   1.701818086546e-11
15.000000   0.660000   1.320266324841e-11   1.320266324841e-11
15.000000   0.700000   1.020294195063e-11   1.020294195063e-11
15.000000   0.740000   7.854119561842e-12   7.854119561842e-12
15.000000   0.780000   6.053486127240e-12   6.053486127240e-12
15.000000   0.820000   4.478944248745e-12   4.478944248745e-12
15.000000   0.860000   3.396827609945e-12   3.396827609945e-12
15.000000   0.900000   2.664679502623e-12   2.664679502623e-12
