#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,2]/   pm_bin[f,3]/   red_pwiaXsec_theory[f,4]/    red_fsiXsec_theory[f,5]/
45.000000   0.020000   7.302375039669e-07   7.302375039669e-07
45.000000   0.060000   1.827855879288e-07   1.827855879288e-07
45.000000   0.100000   4.054285841767e-08   4.054285841767e-08
45.000000   0.140000   1.059075920184e-08   1.059075920184e-08
45.000000   0.180000   3.312365454337e-09   3.312365454337e-09
45.000000   0.220000   1.208399523910e-09   1.208399523910e-09
45.000000   0.260000   5.031715268507e-10   5.031715268507e-10
45.000000   0.300000   2.317260429766e-10   2.317260429766e-10
45.000000   0.340000   1.182569531277e-10   1.182569531277e-10
45.000000   0.380000   6.568956152140e-11   6.568956152140e-11
45.000000   0.420000   3.725508523991e-11   3.725508523991e-11
45.000000   0.460000   2.447323978467e-11   2.447323978467e-11
45.000000   0.500000   1.631567663921e-11   1.631567663921e-11
45.000000   0.540000   1.067832782890e-11   1.067832782890e-11
45.000000   0.580000   7.433828557029e-12   7.433828557029e-12
45.000000   0.620000   5.104355134632e-12   5.104355134632e-12
45.000000   0.660000   3.492865505430e-12   3.492865505430e-12
45.000000   0.700000   2.410992466201e-12   2.410992466201e-12
45.000000   0.740000   1.602709792243e-12   1.602709792243e-12
45.000000   0.780000   1.070570353089e-12   1.070570353089e-12
45.000000   0.820000   7.085270173402e-13   7.085270173402e-13
45.000000   0.860000   4.656140857002e-13   4.656140857002e-13
45.000000   0.900000   3.035654310555e-13   3.035654310555e-13
45.000000   0.940000   1.962186387708e-13   1.962186387708e-13
45.000000   0.980000   1.259646145406e-13   1.259646145406e-13
45.000000   1.020000   8.044187239271e-14   8.044187239271e-14
45.000000   1.060000   5.128924942142e-14   5.128924942142e-14
45.000000   1.100000   3.270214123128e-14   3.270214123128e-14
45.000000   1.140000   2.098935972496e-14   2.098935972496e-14
45.000000   1.180000   1.412562986031e-14   1.412562986031e-14
